City_ID,City,Country,Lat,Lng,Max Temp(C),Humidity,Cloudiness,Wind Speed,Current Description,Date
419,Sharlyk,RU,52.9167,54.75,-2.8,95,100,4.43,light snow,2022-02-13 10:09:50
420,Launceston,AU,-41.45,147.1667,20.64,72,75,5.14,broken clouds,2022-02-13 10:09:52
421,Nizwa,OM,22.9333,57.5333,26.57,23,1,5.85,clear sky,2022-02-13 10:09:53
422,Yantal,RU,56.8471,105.2542,-24.65,97,93,1.12,overcast clouds,2022-02-13 10:09:55
423,Calvinia,ZA,-31.4707,19.776,28.63,38,81,4.17,broken clouds,2022-02-13 10:09:56
424,Berlevag,NO,70.8578,29.0864,-5.77,68,2,7.31,clear sky,2022-02-13 10:09:57
425,Turukhansk,RU,65.8167,87.9833,-19.5,82,0,4.11,clear sky,2022-02-13 10:09:59
426,Hashtrud,IR,37.4779,47.0508,-0.58,84,53,0.76,broken clouds,2022-02-13 10:09:10
427,Camacha,PT,33.0833,-16.3333,15.42,67,20,3.6,few clouds,2022-02-13 10:10:01
428,Leua,SK,48.2156,18.6071,6.18,40,0,4.15,clear sky,2022-02-13 10:10:03
429,Rurrenabaque,BO,-14.4413,-67.5278,21.26,99,100,1.1,heavy intensity rain,2022-02-13 10:10:04
430,Malakal,SS,9.5334,31.6605,34.89,13,12,4.74,few clouds,2022-02-13 10:10:06
431,Muros,ES,42.7762,-9.0603,13.24,93,100,11.26,light rain,2022-02-13 10:10:07
432,Mecca,SA,21.4267,39.8261,29.16,26,1,0.37,clear sky,2022-02-13 10:10:08
433,Banda Aceh,ID,5.5577,95.3222,28.7,72,38,6.37,scattered clouds,2022-02-13 10:10:10
434,Belmonte,BR,-15.8631,-38.8828,24.28,86,99,1.11,overcast clouds,2022-02-13 10:10:11
435,Mackay,AU,-21.15,149.2,25.93,73,1,9.17,clear sky,2022-02-13 10:10:12
436,Baracoa,CU,20.3467,-74.4958,24.2,81,99,3.79,overcast clouds,2022-02-13 10:10:14
437,Nishihara,JP,26.1842,127.7558,19.6,88,75,5.14,heavy intensity shower rain,2022-02-13 10:10:15
438,Ilulissat,GL,69.2167,-51.1,-11.99,72,100,3.09,overcast clouds,2022-02-13 10:10:17
439,Amarante,BR,-6.2411,-42.8547,23.02,94,78,0.76,broken clouds,2022-02-13 10:10:18
440,Pala,TD,9.3642,14.9046,31.48,8,71,3.82,broken clouds,2022-02-13 10:10:20
441,Laizhou,CN,37.1717,119.9214,3.31,68,71,1.65,broken clouds,2022-02-13 10:10:21
442,Bonavista,CA,48.6499,-53.1147,6.73,91,100,9.43,overcast clouds,2022-02-13 10:10:22
443,Anadyr,RU,64.75,177.4833,-37.88,100,59,2.88,broken clouds,2022-02-13 10:10:24
444,Viedma,AR,-40.8135,-62.9967,18.76,28,29,4.15,scattered clouds,2022-02-13 10:10:24
445,Santo Antonio Do Leverger,BR,-15.8656,-56.0767,23.21,97,98,1.46,overcast clouds,2022-02-13 10:10:26
446,Tomatlan,MX,19.9333,-105.25,18.84,55,53,1.36,broken clouds,2022-02-13 10:10:28
447,Puerto Del Rosario,ES,28.5004,-13.8627,18.86,68,0,5.14,clear sky,2022-02-13 10:10:29
448,Kaniama,CD,-7.5667,24.1833,23.9,80,100,1.4,light rain,2022-02-13 10:10:30
449,Victoria,HK,22.2855,114.1577,17.92,84,100,3.58,overcast clouds,2022-02-13 10:10:33
450,Husavik,IS,66.0449,-17.3389,-13.17,95,45,7.0,scattered clouds,2022-02-13 10:10:34
451,Poum,NC,-20.2333,164.0167,27.83,80,96,4.39,overcast clouds,2022-02-13 10:10:36
452,Ugoofaaru,MV,5.6667,73.0,27.32,73,100,1.98,light rain,2022-02-13 10:10:37
453,Kargasok,RU,59.0556,80.8572,-14.95,90,47,6.04,scattered clouds,2022-02-13 10:10:38
454,Freistadt,AT,48.511,14.5045,6.07,53,30,2.16,scattered clouds,2022-02-13 10:10:40
455,Gimli,CA,50.6336,-96.9907,-31.98,100,97,2.7,overcast clouds,2022-02-13 10:10:41
456,Tiznit,MA,29.5833,-9.5,17.13,32,0,0.64,clear sky,2022-02-13 10:10:43
457,Kununurra,AU,-15.7667,128.7333,32.99,55,40,9.26,scattered clouds,2022-02-13 10:10:44
458,Olinda,BR,-8.0089,-34.8553,26.85,83,20,1.03,few clouds,2022-02-13 10:10:45
459,Batemans Bay,AU,-35.7167,150.1833,22.73,73,82,3.91,broken clouds,2022-02-13 10:10:47
460,Sharjah,AE,25.3573,55.4033,23.09,49,40,7.2,scattered clouds,2022-02-13 10:10:05
461,Vila Velha,BR,-20.3297,-40.2925,23.97,98,20,1.03,few clouds,2022-02-13 10:10:38
462,Auki,SB,-8.7676,160.7034,25.9,83,100,1.19,overcast clouds,2022-02-13 10:10:50
463,Chumikan,RU,54.7183,135.315,-18.08,89,100,1.04,overcast clouds,2022-02-13 10:10:52
464,Porto Novo,BJ,6.4965,2.6036,31.53,58,42,3.74,scattered clouds,2022-02-13 10:10:54
465,Seabra,BR,-12.4186,-41.7703,20.14,89,100,1.07,overcast clouds,2022-02-13 10:10:56
466,Alyangula,AU,-13.8483,136.4192,28.83,70,1,5.02,clear sky,2022-02-13 10:10:57
467,Lavrentiya,RU,65.5833,-171.0,-27.32,93,10,2.87,clear sky,2022-02-13 10:10:58
468,Garavuti,TJ,37.5672,68.4469,14.36,50,23,1.12,few clouds,2022-02-13 10:11:01
469,Jalu,LY,29.0331,21.5482,16.31,36,11,2.84,few clouds,2022-02-13 10:11:02
470,Kembe,CF,4.6228,21.8865,35.99,11,100,2.47,overcast clouds,2022-02-13 10:11:04
