City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Balkhash,KZ,2022-02-11 07:03:38,46.844,74.9804,5.61,85,0,13.42
67,Cap Malheureux,MU,2022-02-11 07:01:08,-19.9842,57.6142,84.69,68,9,4.0
68,Avarua,CK,2022-02-11 07:03:38,-21.2078,-159.775,78.85,83,75,11.5
69,Dudinka,RU,2022-02-11 07:03:39,69.4058,86.1778,2.62,86,40,19.39
70,Timmins,CA,2022-02-11 07:03:39,48.4669,-81.3331,6.62,85,100,8.05
71,Dzhebariki-Khaya,RU,2022-02-11 07:03:39,62.2167,135.8,-21.57,97,99,1.41
72,Guerrero Negro,MX,2022-02-11 07:03:40,27.9769,-114.0611,62.13,48,0,1.92
73,Kavieng,PG,2022-02-11 07:03:40,-2.5744,150.7967,82.38,77,66,6.04
74,Mahebourg,MU,2022-02-11 07:03:41,-20.4081,57.7,84.49,70,40,9.22
75,Labuan,MY,2022-02-11 07:03:41,5.2767,115.2417,86.16,75,100,9.04
76,Jamestown,US,2022-02-11 07:03:41,42.097,-79.2353,31.32,80,100,10.36
77,Platanos,GR,2022-02-11 07:03:42,37.6667,21.6167,48.07,60,0,2.8
78,Mehamn,NO,2022-02-11 07:03:42,71.0357,27.8492,26.51,91,100,13.85
79,Lorengau,PG,2022-02-11 07:03:42,-2.0226,147.2712,83.37,77,100,8.3
80,Isla Mujeres,MX,2022-02-11 07:03:43,21.2311,-86.731,73.45,74,100,11.81
81,Hasaki,JP,2022-02-11 07:03:43,35.7333,140.8333,45.28,62,8,21.41
82,Suamico,US,2022-02-11 07:03:43,44.6319,-88.0393,33.01,90,100,18.41
83,Corner Brook,CA,2022-02-11 07:00:53,48.9667,-57.9484,31.21,89,100,6.06
84,Siocon,PH,2022-02-11 07:03:44,7.7061,122.1353,82.62,81,100,8.28
85,Thompson,CA,2022-02-11 07:03:00,55.7435,-97.8558,-29.9,92,6,6.44
86,Chuy,UY,2022-02-11 07:03:44,-33.6971,-53.4616,66.52,93,0,5.39
87,Coquimbo,CL,2022-02-11 07:03:45,-29.9533,-71.3436,65.93,82,100,3.44
88,Souillac,MU,2022-02-11 07:03:45,-20.5167,57.5167,84.58,70,40,9.22
89,Bengkulu,ID,2022-02-11 07:03:46,-3.8004,102.2655,84.04,66,100,7.54
90,Torbay,CA,2022-02-11 07:04:46,47.6666,-52.7314,34.75,92,44,3.0
91,Carnarvon,AU,2022-02-11 07:04:47,-24.8667,113.6333,84.27,70,75,12.66
92,Longyearbyen,SJ,2022-02-11 07:04:47,78.2186,15.6401,19.24,73,75,9.22
93,Huarmey,PE,2022-02-11 07:04:47,-10.0681,-78.1522,70.7,81,100,5.82
94,Harper,LR,2022-02-11 07:04:48,4.375,-7.7169,78.91,87,65,5.03
95,Abnub,EG,2022-02-11 07:04:48,27.2696,31.1511,55.42,50,5,7.85
96,Grand Gaube,MU,2022-02-11 07:04:49,-20.0064,57.6608,84.6,69,10,1.99
97,Gravdal,NO,2022-02-11 07:04:49,68.1214,13.5031,29.88,80,40,17.27
98,Longonjo,AO,2022-02-11 07:04:50,-12.9067,15.2533,65.26,83,100,0.65
99,Krasnyy Oktyabr,RU,2022-02-11 07:04:50,56.1167,38.8833,28.62,93,100,7.63
100,Kashira,RU,2022-02-11 07:04:50,54.8444,38.1669,32.34,93,100,10.11
101,Touros,BR,2022-02-11 07:04:51,-5.1989,-35.4608,76.1,80,57,7.45
102,Codrington,AU,2022-02-11 07:04:51,-38.2667,141.9667,64.47,53,1,17.18
103,Puerto Leguizamo,CO,2022-02-11 07:00:53,-0.1934,-74.7819,70.29,96,32,1.07
104,Sitka,US,2022-02-11 07:04:52,57.0531,-135.33,33.69,75,40,4.61
105,Rio Gallegos,AR,2022-02-11 07:02:59,-51.6226,-69.2181,39.25,70,0,10.36
106,Jadu,LY,2022-02-11 07:04:52,31.953,12.0261,43.38,69,10,7.14
107,Axim,GH,2022-02-11 07:04:53,4.8699,-2.2405,78.35,91,18,3.56
108,Sao Francisco Do Sul,BR,2022-02-11 07:04:40,-26.2433,-48.6381,72.1,88,8,1.79
109,Alofi,NU,2022-02-11 07:04:53,-19.0595,-169.9187,81.61,74,90,15.14
