City_ID,City,Country,Max Temp(C),Current Description,Lat,Lng,Hotel Name
481,Teluk Nibung,ID,28.74,light rain,3.001,99.8164,Hotel Assyifa
482,Kahului,US,23.25,clear sky,20.8947,-156.47,Maui Seaside Hotel
484,Amahai,ID,24.56,moderate rain,-3.3333,128.9167,HOTEL ISABELA
485,San Policarpo,PH,26.26,overcast clouds,12.1791,125.5072,Agapita M. Nicart
488,Flinders,AU,21.88,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
497,Odweyne,SO,29.26,broken clouds,9.4092,45.064,Eng Hiirey House
500,Sai Buri,TH,28.31,few clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
503,Jacareacanga,BR,22.14,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
504,Gat,IL,20.78,clear sky,31.61,34.7642,OlusHome
511,Boundiali,CI,28.49,clear sky,9.5217,-6.4869,Hotel Paysan Boundiali
513,Port Blair,IN,27.67,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
518,Tahta,EG,22.1,clear sky,26.7693,31.5021,shady waheed
521,Manzanillo,CU,22.65,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
522,Bambanglipuro,ID,25.39,overcast clouds,-7.95,110.2833,Puri Brata
529,Kendari,ID,24.4,light rain,-3.945,122.4989,Hotel Wixel
533,Tocache,PE,20.36,overcast clouds,-8.1842,-76.5125,Hotel Ortiz
538,Kalutara,LK,26.8,light rain,6.5831,79.9593,Tangerine Beach Hotel
539,Sawakin,SD,25.91,clear sky,19.1059,37.3321,فندق الدويم
540,Santa Teresa,VE,21.51,overcast clouds,10.2341,-66.6631,Funeraria Lira
542,Kawalu,ID,22.97,moderate rain,-7.3817,108.2082,West Jontor
544,North Vanlaiphai,IN,20.59,clear sky,23.1333,93.0667,VL Lungmuana In
550,Dingle,PH,25.82,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
551,Dalbandin,PK,21.03,scattered clouds,28.8947,64.4101,Gidaan Guest House
553,Daru,PG,26.71,clear sky,-9.0763,143.2092,Daru Lodge
554,Tautira,PF,26.01,light rain,-17.7333,-149.15,Pension Oaoa
561,Boditi,ET,26.88,broken clouds,6.9667,37.8667,Me'aza Metasebiya Hotel.
564,The Valley,AI,25.05,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
566,Oranjestad,AW,25.78,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
568,Meulaboh,ID,28.59,broken clouds,4.1363,96.1285,Kost Pria
569,Kibuye,RW,23.3,overcast clouds,-2.0597,29.3482,Rebero Kivu Resort
570,Asyut,EG,21.9,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
571,Kapit,MY,26.09,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
574,Mpulungu,ZM,24.41,light rain,-8.7623,31.1141,Chela moche guest house
576,Rantepao,ID,21.01,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
577,Menongue,AO,23.8,light rain,-14.6585,17.691,Ritz Lauca
579,Cabedelo,BR,28.37,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
581,Balsas,BR,23.22,overcast clouds,-7.5325,-46.0356,Novo Hotel
583,Port Moresby,PG,26.2,clear sky,-9.4431,147.1797,Lamana Hotel (Port Moresby)
586,Tevaitoa,PF,27.13,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
589,Manggar,ID,28.02,overcast clouds,-2.8833,108.2667,Guest Hotel
592,Noumea,NC,28.33,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
593,Coahuayana,MX,22.56,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
595,Bintulu,MY,26.78,overcast clouds,3.1667,113.0333,900 Boutique INN
596,Manokwari,ID,26.46,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
601,Inongo,CD,27.01,overcast clouds,-1.95,18.2667,Hotel Du Lac
602,Atar,MR,21.18,overcast clouds,20.5169,-13.0499,Oumou Elghoura
607,Barreirinha,BR,22.84,overcast clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
608,Maragogi,BR,26.66,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
616,Ramgarh,IN,26.03,clear sky,23.6333,85.5167,HOTEL TREAT RESIDENCY
617,Ibra,OM,27.13,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
619,Sawai Madhopur,IN,24.41,clear sky,25.9833,76.3667,Sawai Madhopur Lodge – IHCL SeleQtions
620,Charters Towers,AU,25.25,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
625,Santa Ines,BR,23.01,overcast clouds,-3.6667,-45.38,Palace hotel
630,Hargeysa,SO,24.76,scattered clouds,9.56,44.065,City Center Hotel
640,Buritis,BR,20.73,overcast clouds,-15.6178,-46.4233,Hotel Rainha do Vale
642,Mianwali,PK,21.96,overcast clouds,32.5741,71.5264,Hashmi Plaza
646,Dwarka,IN,23.98,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
648,Karwar,IN,29.37,clear sky,14.8,74.1333,Netalco Connects
650,Sambava,MG,28.94,clear sky,-14.2667,50.1667,Melrose
653,Harper,LR,26.71,moderate rain,4.375,-7.7169,Screensaver
654,Kasempa,ZM,25.09,few clouds,-13.4584,25.8338,Lolelunga Forest Reserve
656,Eyl,SO,28.77,broken clouds,7.9803,49.8164,Amiin Hotel
657,Soyo,AO,28.21,overcast clouds,-6.1349,12.3689,Hotel Mpampa
664,Boulsa,BF,28.74,clear sky,12.6675,-0.5758,Auberge Relwende
665,Progreso,MX,21.06,broken clouds,21.2833,-89.6667,Playa Linda Hotel
666,Saiha,IN,25.22,clear sky,22.4833,92.9667,"Circuit House, Siaha"
669,Visakhapatnam,IN,26.94,haze,17.69,83.2093,Best Western Ramachandra Hotel
670,Limbang,MY,28.92,moderate rain,4.75,115.0,Purnama Hotel
676,El Sauce,NI,22.51,clear sky,12.8869,-86.539,Hotel Blanco
678,Turbaco,CO,23.86,scattered clouds,10.3294,-75.4114,Apartamento Cartagena Edificio Conquistador
679,Kruisfontein,ZA,28.19,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
680,Morant Bay,JM,25.79,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
681,Bandiagara,ML,26.45,clear sky,14.3501,-3.6104,Hotel de la Falaise
